State Code,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour
12,24,100,0.125,1,9
12,21,88,0.238095,3,15
12,24,100,0.583333,2,13
12,22,92,0.318182,1,0
12,24,100,0.125,1,17
12,24,100,0.916667,4,14
12,24,100,0.041667,1,15
12,24,100,0,0,0
12,22,92,0.772727,4,11
12,24,100,0.625,2,14
12,24,100,0.875,4,15
12,23,96,0.956522,3,8
12,24,100,0.541667,1,0
12,24,100,0.125,1,9
12,24,100,0.541667,2,18
12,22,92,0.136364,2,8
12,24,100,0.708333,2,9
12,24,100,1.625,6,11
12,24,100,1.333333,4,19
12,24,100,1.291667,3,7
12,24,100,0.625,2,7
12,24,100,0.208333,1,0
12,24,100,0.875,5,16
12,24,100,0.458333,1,0
12,24,100,0.916667,4,7
12,24,100,0.708333,4,8
12,22,92,2.181818,17,16
12,24,100,1.291667,5,10
12,24,100,1.25,3,8
12,24,100,0.791667,2,14
12,24,100,0.666667,2,8
12,21,88,1.809524,3,12
12,24,100,3.5,6,8
12,24,100,3.5,7,13
12,24,100,3.041667,4,7
12,24,100,3.458333,4,0
12,22,92,3.272727,5,15
12,22,92,1.136364,4,0
12,24,100,0,0,0
12,24,100,0,0,0
12,22,92,0,0,0
12,24,100,0,0,0
12,24,100,0,0,0
12,23,96,1,4,14
12,24,100,1.333333,2,9
12,24,100,1.375,4,20
12,22,92,1,3,4
12,24,100,0.25,2,8
12,24,100,0.541667,4,13
12,24,100,0.333333,1,10
12,24,100,0.791667,3,17
12,24,100,0.916667,2,6
12,23,96,1.826087,10,9
12,24,100,0.791667,2,8
12,22,92,1.090909,3,15
